204 102
3 7
26 47 78 128 165 0 0 
26 58 99 130 157 200 0 
26 64 100 131 163 201 0 
27 48 85 131 159 198 0 
27 60 74 107 165 195 0 
27 65 99 132 162 202 0 
28 48 94 133 164 203 0 
28 71 93 130 167 0 0 
28 66 90 134 156 201 0 
29 49 76 133 166 200 0 
29 56 97 132 169 192 0 
29 62 101 135 165 204 0 
30 49 88 136 167 191 0 
30 60 100 137 152 203 0 
30 67 102 127 168 199 0 
31 50 98 136 169 0 0 
31 57 81 135 168 202 0 
31 68 100 129 166 0 0 
32 50 99 137 160 196 0 
32 61 103 135 167 0 0 
32 66 102 110 170 0 0 
33 51 103 138 166 193 0 
33 64 91 140 169 0 0 
33 67 89 139 171 197 0 
34 66 101 140 172 0 0 
35 67 109 145 172 200 0 
