0/0/1/0,1104,0,0,0,lp,1679,2653,0.011446062,group 3,80,135.3193295
0/0/1/0,1104,1,0,0,mp,1829,2653,0.012468641,group 3,80,135.3193295
0/0/1/0,1104,2,0,0,up,1329,2653,0.009060046,group 3,80,135.3193295
0/0/1/0,1104,3,0,0,tp,1408,2653,0.009598604,group 3,80,135.3193295
0/0/1/0,1104,4,0,1,lp,1480,2653,0.010089442,group 3,80,135.3193295
0/0/1/0,1104,5,0,1,mp,1599,2653,0.010900687,group 3,80,135.3193295
0/0/1/0,1104,6,0,1,up,1192,2653,0.008126091,group 3,80,135.3193295
0/0/1/0,1104,7,0,1,tp,1255,2653,0.008555574,group 3,80,135.3193295
0/0/1/0,1104,8,0,2,lp,1105,2653,0.007532995,group 3,80,135.3193295
0/0/1/0,1104,9,0,2,mp,1455,2653,0.009919012,group 3,80,135.3193295
0/0/1/0,1104,10,0,2,up,939,2653,0.006401342,group 3,80,135.3193295
0/0/1/0,1104,11,0,2,tp,1229,2653,0.008378327,group 3,80,135.3193295
0/0/1/0,1104,12,0,3,lp,941,2653,0.006414976,group 3,80,135.3193295
0/0/1/0,1104,13,0,3,mp,1399,2653,0.009537249,group 3,80,135.3193295
0/0/1/0,1104,14,0,3,up,984,2653,0.006708115,group 3,80,135.3193295
0/0/1/0,1104,15,0,3,tp,1225,2653,0.008351058,group 3,80,135.3193295
0/0/1/0,1104,16,1,0,lp,1636,2653,0.011152923,group 3,80,135.3193295
0/0/1/0,1104,17,1,0,mp,1318,2653,0.008985057,group 3,80,135.3193295
0/0/1/0,1104,18,1,0,up,1330,2653,0.009066863,group 3,80,135.3193295
0/0/1/0,1104,19,1,0,tp,1107,2653,0.00754663,group 3,80,135.3193295
0/0/1/0,1104,20,1,1,lp,1447,2653,0.009864474,group 3,80,135.3193295
0/0/1/0,1104,21,1,1,mp,1230,2653,0.008385144,group 3,80,135.3193295
0/0/1/0,1104,22,1,1,up,1276,2653,0.008698735,group 3,80,135.3193295
0/0/1/0,1104,23,1,1,tp,975,2653,0.00664676,group 3,80,135.3193295
0/0/1/0,1104,24,1,2,lp,1263,2653,0.008610111,group 3,80,135.3193295
0/0/1/0,1104,25,1,2,mp,1166,2653,0.007948844,group 3,80,135.3193295
0/0/1/0,1104,26,1,2,up,1120,2653,0.007635253,group 3,80,135.3193295
0/0/1/0,1104,27,1,2,tp,995,2653,0.006783104,group 3,80,135.3193295
0/0/1/0,1104,28,1,3,lp,1122,2653,0.007648887,group 3,80,135.3193295
0/0/1/0,1104,29,1,3,mp,1048,2653,0.007144415,group 3,80,135.3193295
0/0/1/0,1104,30,1,3,up,1049,2653,0.007151233,group 3,80,135.3193295
0/0/1/0,1104,31,1,3,tp,1058,2653,0.007212587,group 3,80,135.3193295
0/0/1/0,1104,32,2,0,lp,1513,2653,0.010314409,group 3,80,135.3193295
0/0/1/0,1104,33,2,0,mp,1004,2653,0.006844459,group 3,80,135.3193295
0/0/1/0,1104,34,2,0,up,1294,2653,0.008821444,group 3,80,135.3193295
0/0/1/0,1104,35,2,0,tp,945,2653,0.006442245,group 3,80,135.3193295
0/0/1/0,1104,36,2,1,lp,1307,2653,0.008910068,group 3,80,135.3193295
0/0/1/0,1104,37,2,1,mp,887,2653,0.006046848,group 3,80,135.3193295
0/0/1/0,1104,38,2,1,up,1289,2653,0.008787358,group 3,80,135.3193295
